1,Female,Male,blue,yellow,loves sausages,foo,bar,height,age,length,depth,sweetness,hardness,softness,fantasticness,boring-level,happiness
FF153,1,0,0,1,0,0,0,44,695,423,731,852,379,23,480,508,364
MF154,0,1,0,1,0,0,0,1,428,423,126,739,894,480,423,665,
MM155,0,1,0,0,0,1,0,0,46,423,171,130,852,379,705,642,128
FM156,1,0,0,0,0,1,0,0,363,423,69,354,84,739,,642,32
FM157,1,0,0,0,0,1,0,1,1107,423,852,354,739,894,657,49,1119
FM158,1,0,0,0,0,1,0,1,665,423,130,894,,363,196,130,171
MF159,0,1,0,1,0,0,0,74,657,739,642,130,454,1107,740,739,1107
FF160,1,0,0,1,0,0,0,,665,535,731,480,49,423,130,535,773
FG161,1,0,0,0,0,0,1,195,,1107,,,,,,,508
FG162,1,0,0,0,0,0,1,1,852,1107,354,739,843,665,128,665,32
FG163,1,0,0,0,0,0,1,,428,1107,35,423,68,1107,,46,
FG164,1,0,0,0,0,0,1,839,428,1107,,,,,,,598
FF165,1,0,0,1,0,0,0,76,454,1107,37,306,49,876,134,852,1038
MF166,0,1,0,1,0,0,0,839,130,1107,1107,894,46,695,894,23,508
FF167,1,0,0,1,0,0,0,76,535,1107,93,598,852,130,423,665,614
MF168,0,1,0,1,0,0,0,74,1107,1107,739,130,363,739,6,894,1119
MM169,0,1,0,0,0,1,0,74,454,1107,379,423,535,894,316,739,423
FM170,1,0,0,0,0,1,0,1,81,1107,379,598,739,739,665,657,364
MM75,0,1,0,0,0,1,0,0,843,657,,739,642,876,37,,1119
FC171,1,0,1,0,0,0,0,74,428,657,126,461,23,126,23,35,1
FM172,1,0,0,0,0,1,0,74,428,657,69,894,852,480,508,1107,1107
FC173,1,0,1,0,0,0,0,428,49,665,69,642,84,354,69,363,32
MM174,0,1,0,0,0,1,0,1,84,665,37,480,642,739,130,,128
MC76,0,1,1,0,0,0,0,343,130,68,508,642,894,423,93,508,396
FF175,1,0,0,1,0,0,0,195,843,68,598,37,876,68,665,739,128
FF176,1,0,0,1,0,0,0,0,428,68,126,665,480,130,316,657,364
FM177,1,0,0,0,0,1,0,1,1107,68,665,354,739,598,657,657,93
FF178,1,0,0,1,0,0,0,852,354,49,739,363,665,657,37,49,32
MF179,0,1,0,1,0,0,0,195,428,49,69,130,480,598,,1107,76
FC180,1,0,1,0,0,0,0,74,81,49,354,171,379,130,93,598,756
FF77,1,0,0,1,0,0,0,,843,84,130,130,535,894,,535,396
FC78,1,0,1,0,0,0,0,44,,84,,,,535,,,1119
FM79,1,0,0,0,0,1,0,428,354,84,852,731,454,423,175,354,843
FM80,1,0,0,0,0,1,0,1,852,84,306,,354,598,126,876,423
FG181,1,0,0,0,0,0,1,,695,84,126,739,,69,,84,396
FF182,1,0,0,1,0,0,0,74,,84,756,354,665,598,852,379,128
MF183,0,1,0,1,0,0,0,428,423,84,46,894,84,852,480,852,32
FC184,1,0,1,0,0,0,0,74,,84,,,,,,,1119
MC185,0,1,1,0,0,0,0,839,81,84,354,130,,642,756,130,93
FC186,1,0,1,0,0,0,0,44,49,84,37,598,876,37,756,739,115
MM187,0,1,0,0,0,1,0,74,739,84,657,598,598,657,,642,396
FC81,1,0,1,0,0,0,0,1,49,454,480,363,665,1107,23,508,477
FC188,1,0,1,0,0,0,0,0,852,454,379,705,68,68,740,379,171
FC189,1,0,1,0,0,0,0,0,454,454,852,68,130,705,508,46,1038
MM190,0,1,0,0,0,1,0,0,852,454,705,69,37,739,664,37,364
FC82,1,0,1,0,0,0,0,195,84,695,130,480,665,423,,,510
FG191,1,0,0,0,0,0,1,0,46,695,480,130,598,354,461,852,539
FC192,1,0,1,0,0,0,0,0,428,695,306,171,843,49,68,84,1038
FF193,1,0,0,1,0,0,0,81,480,46,852,852,695,598,37,508,364
MC194,0,1,1,0,0,0,0,0,81,46,739,130,695,68,239,130,
MC195,0,1,1,0,0,0,0,0,695,46,354,23,423,130,23,68,32
MC196,0,1,1,0,0,0,0,0,695,46,69,,37,69,37,508,93
FM197,1,0,0,0,0,1,0,195,480,46,37,423,843,665,171,695,508
FM198,1,0,0,0,0,1,0,195,508,46,894,130,876,354,,642,756
FM199,1,0,0,0,0,1,0,1,695,46,,,,363,480,379,531
FC2,1,0,1,0,0,0,0,843,428,852,480,126,23,756,876,363,195
FF200,1,0,0,1,0,0,0,0,428,852,535,23,84,68,824,852,396
FC201,1,0,1,0,0,0,0,0,454,852,69,354,46,130,196,171,396
FM202,1,0,0,0,0,1,0,,49,852,705,69,46,739,731,508,773
FF3,1,0,0,1,0,0,0,1,,843,134,23,363,130,,363,1038
MB83,0,1,0,0,1,0,0,1,46,843,126,,642,480,23,454,614
FC84,1,0,1,0,0,0,0,76,46,843,130,876,665,480,,480,93
FC85,1,0,1,0,0,0,0,195,84,843,665,894,480,642,6,363,
FM86,1,0,0,0,0,1,0,195,1107,843,69,480,1107,665,,69,32
FF203,1,0,0,1,0,0,0,839,508,843,731,705,695,,461,598,
FF204,1,0,0,1,0,0,0,0,,843,130,657,1107,84,,843,32
FF205,1,0,0,1,0,0,0,839,354,843,756,705,508,508,,508,1038
MF206,0,1,0,1,0,0,0,1,695,843,480,705,363,535,598,705,171
FF207,1,0,0,1,0,0,0,74,454,843,508,508,130,480,657,454,508
FF208,1,0,0,1,0,0,0,0,665,843,126,876,665,894,363,454,1038
FF209,1,0,0,1,0,0,0,195,428,843,756,130,68,379,363,84,1038
MC210,0,1,1,0,0,0,0,0,46,843,37,37,363,876,731,876,508
FC211,1,0,1,0,0,0,0,,843,843,23,37,49,480,705,535,1119
FM212,1,0,0,0,0,1,0,195,598,843,657,598,,739,130,68,598
FM213,1,0,0,0,0,1,0,81,37,843,852,480,454,739,239,894,93
FM214,1,0,0,0,0,1,0,0,84,843,598,423,894,852,37,480,93
FM215,1,0,0,0,0,1,0,0,84,843,665,705,84,665,598,354,531
MM216,0,1,0,0,0,1,0,195,657,843,69,379,354,354,850,642,93
FM217,1,0,0,0,0,1,0,1,49,843,756,876,739,894,316,363,32
FM218,1,0,0,0,0,1,0,0,428,843,,379,480,598,824,508,756
MF219,0,1,0,1,0,0,0,343,423,81,480,598,739,423,744,1107,115
FF220,1,0,0,1,0,0,0,1,739,81,705,642,49,876,894,68,93
FF221,1,0,0,1,0,0,0,0,852,81,598,423,665,894,,454,128
FF222,1,0,0,1,0,0,0,0,81,81,731,480,130,130,130,535,364
FC223,1,0,1,0,0,0,0,195,843,81,37,93,642,130,665,,1119
FC224,1,0,1,0,0,0,0,839,695,81,126,363,739,1107,657,665,1119
FM225,1,0,0,0,0,1,0,1,665,81,130,739,665,843,642,1107,773
FC4,1,0,1,0,0,0,0,839,852,428,598,239,695,535,662,130,396
FC87,1,0,1,0,0,0,0,1,81,428,354,171,84,894,23,423,508
FC88,1,0,1,0,0,0,0,343,68,428,130,35,1107,598,130,23,843
FF226,1,0,0,1,0,0,0,839,695,428,598,739,695,84,876,379,364
FF227,1,0,0,1,0,0,0,1,,428,23,23,739,739,316,876,1119
FF228,1,0,0,1,0,0,0,195,46,428,852,130,46,665,731,480,614
FF229,1,0,0,1,0,0,0,0,81,428,69,876,423,894,756,665,396
MC230,0,1,1,0,0,0,0,1,843,428,130,354,480,130,93,423,756
FC231,1,0,1,0,0,0,0,1,852,428,171,126,642,852,32,130,396
FC232,1,0,1,0,0,0,0,195,68,428,852,705,535,379,37,508,1119
FM233,1,0,0,0,0,1,0,839,1107,428,705,508,68,665,171,535,773
FM234,1,0,0,0,0,1,0,1,46,428,69,876,665,508,739,665,32
MM235,0,1,0,0,0,1,0,1,852,428,130,354,657,657,37,535,1119
FC5,1,0,1,0,0,0,0,839,843,44,130,665,642,657,662,480,508
FC6,1,0,1,0,0,0,0,74,852,44,23,894,480,598,852,68,1119
FC89,1,0,1,0,0,0,0,839,81,44,130,239,665,37,396,705,773
FC90,1,0,1,0,0,0,0,195,81,44,130,171,49,363,756,480,428
FM91,1,0,0,0,0,1,0,81,37,44,306,354,852,876,461,423,396
FF236,1,0,0,1,0,0,0,74,852,44,379,69,68,642,,876,773
MF237,0,1,0,1,0,0,0,74,843,44,84,894,363,535,391,354,773
FF238,1,0,0,1,0,0,0,0,843,44,379,130,49,354,461,598,508
MF239,0,1,0,1,0,0,0,195,1107,44,23,130,84,454,535,642,
FF240,1,0,0,1,0,0,0,1,843,44,37,423,657,876,,508,396
FC241,1,0,1,0,0,0,0,44,68,44,37,363,739,665,480,657,348
FC242,1,0,1,0,0,0,0,0,428,44,665,130,354,642,664,535,343
FC243,1,0,1,0,0,0,0,74,454,44,306,69,23,306,,454,93
FC244,1,0,1,0,0,0,0,0,428,44,665,171,695,454,535,23,1119
FC245,1,0,1,0,0,0,0,76,695,44,739,480,480,665,23,68,1119
MC246,0,1,1,0,0,0,0,1,428,44,642,171,130,535,69,852,1119
MM247,0,1,0,0,0,1,0,0,49,44,657,37,130,894,306,423,171
MC7,0,1,1,0,0,0,0,839,852,343,423,130,657,,6,894,
FC8,1,0,1,0,0,0,0,1,81,343,852,,480,423,664,642,1119
FG92,1,0,0,0,0,0,1,76,49,343,130,480,852,852,1107,876,44
FF248,1,0,0,1,0,0,0,839,843,343,876,598,454,695,850,23,508
FF249,1,0,0,1,0,0,0,1,81,343,354,130,130,37,423,,508
FF250,1,0,0,1,0,0,0,1,81,343,130,354,49,363,876,379,
MF251,0,1,0,1,0,0,0,839,852,343,876,130,894,84,35,894,128
FC252,1,0,1,0,0,0,0,74,852,343,69,705,130,379,664,379,773
FC253,1,0,1,0,0,0,0,343,68,343,37,705,852,23,93,876,364
FC254,1,0,1,0,0,0,0,195,428,343,894,23,49,598,134,130,348
MC255,0,1,1,0,0,0,0,839,46,343,423,130,480,642,850,894,32
FC256,1,0,1,0,0,0,0,44,46,343,665,130,876,379,171,739,93
FM257,1,0,0,0,0,1,0,74,81,343,894,894,454,852,35,598,1107
MM258,0,1,0,0,0,1,0,0,428,343,126,354,508,535,642,657,508
FC9,1,0,1,0,0,0,0,195,428,76,126,354,379,23,850,49,93
MC10,0,1,1,0,0,0,0,343,695,76,363,664,1107,423,32,664,843
FC11,1,0,1,0,0,0,0,0,695,76,508,852,68,480,665,480,1038
FC12,1,0,1,0,0,0,0,1,428,76,731,363,642,894,68,454,32
FF259,1,0,0,1,0,0,0,839,480,76,642,664,454,363,,23,1038
FF260,1,0,0,1,0,0,0,76,852,76,756,130,657,508,535,852,1119
FF261,1,0,0,1,0,0,0,1,843,76,852,,535,739,126,1107,664
FF262,1,0,0,1,0,0,0,1,843,76,126,363,,695,852,657,396
FC263,1,0,1,0,0,0,0,76,894,76,306,35,508,69,126,705,824
MC264,0,1,1,0,0,0,0,839,665,76,598,642,739,363,461,739,171
FC265,1,0,1,0,0,0,0,74,894,76,69,37,480,642,391,363,773
FM266,1,0,0,0,0,1,0,,642,76,894,852,894,894,508,130,1119
FM267,1,0,0,0,0,1,0,0,49,76,731,1107,454,665,852,508,93
FC13,1,0,1,0,0,0,0,,81,839,665,130,665,423,6,739,598
FC14,1,0,1,0,0,0,0,343,665,839,23,598,49,508,461,657,93
FC15,1,0,1,0,0,0,0,195,428,839,130,642,423,598,68,68,508
FC16,1,0,1,0,0,0,0,0,428,839,894,130,664,705,665,37,396
FM93,1,0,0,0,0,1,0,0,81,839,130,852,739,508,894,876,508
FF268,1,0,0,1,0,0,0,839,876,839,705,876,68,69,379,84,1038
MF269,0,1,0,1,0,0,0,0,695,839,23,130,535,379,379,535,128
FF270,1,0,0,1,0,0,0,839,84,839,665,598,894,130,1107,657,1119
MF271,0,1,0,1,0,0,0,1,49,839,,598,657,,37,739,1038
FC272,1,0,1,0,0,0,0,81,454,839,354,126,454,894,130,665,84
MC273,0,1,1,0,0,0,0,76,81,839,480,665,642,379,535,894,1119
FC274,1,0,1,0,0,0,0,1,843,839,69,508,84,657,69,130,171
FC275,1,0,1,0,0,0,0,1,81,839,130,423,68,1107,23,598,598
FC276,1,0,1,0,0,0,0,0,428,839,423,423,705,876,876,739,364
MC277,0,1,1,0,0,0,0,0,428,839,876,665,379,535,379,665,1119
FM278,1,0,0,0,0,1,0,195,,839,354,480,598,49,,508,508
FM279,1,0,0,0,0,1,0,1,423,839,852,876,535,363,126,739,32
MM280,0,1,0,0,0,1,0,0,84,839,423,354,480,130,93,508,773
FM281,1,0,0,0,0,1,0,1,508,839,423,876,852,84,379,,93
FC17,1,0,1,0,0,0,0,76,46,74,23,130,705,37,598,49,32
MC18,0,1,1,0,0,0,0,195,49,74,354,876,598,379,130,739,93
MC19,0,1,1,0,0,0,0,1,1107,74,130,480,642,598,665,49,134
FC20,1,0,1,0,0,0,0,1,428,74,379,705,598,642,662,354,32
FC21,1,0,1,0,0,0,0,0,81,74,130,876,535,480,126,68,128
FC22,1,0,1,0,0,0,0,,46,74,852,705,354,130,306,508,1038
FC23,1,0,1,0,0,0,0,0,428,74,126,876,130,642,354,423,1038
MM94,0,1,0,0,0,1,0,1,49,74,37,37,894,480,171,665,202
FF282,1,0,0,1,0,0,0,74,81,74,1107,84,665,423,68,852,1038
MF283,0,1,0,1,0,0,0,0,454,74,130,598,852,68,744,480,93
FF284,1,0,0,1,0,0,0,839,695,74,852,642,642,508,481,480,32
MC285,0,1,1,0,0,0,0,74,508,74,508,379,423,354,664,598,773
FC286,1,0,1,0,0,0,0,76,665,74,171,598,535,23,396,657,756
FC287,1,0,1,0,0,0,0,44,876,74,69,508,665,454,481,1107,1
FC288,1,0,1,0,0,0,0,839,535,74,598,705,894,379,481,379,1107
FC289,1,0,1,0,0,0,0,74,49,74,598,852,354,598,740,598,93
FC290,1,0,1,0,0,0,0,839,665,74,876,,423,69,535,665,477
FC291,1,0,1,0,0,0,0,195,81,74,598,894,876,508,894,,93
MC292,0,1,1,0,0,0,0,0,428,74,130,480,423,876,657,665,508
FC293,1,0,1,0,0,0,0,343,852,74,379,756,508,126,396,379,773
MC294,0,1,1,0,0,0,0,1,428,74,171,665,130,69,535,598,508
MC295,0,1,1,0,0,0,0,195,46,74,454,306,171,739,196,852,0
FC296,1,0,1,0,0,0,0,0,695,74,379,665,480,894,306,130,614
FC297,1,0,1,0,0,0,0,1,81,74,665,642,642,379,739,695,1038
FC298,1,0,1,0,0,0,0,0,428,74,894,535,642,480,664,665,756
FM299,1,0,0,0,0,1,0,839,379,74,664,876,,1107,664,,74
FM300,1,0,0,0,0,1,0,195,423,74,423,852,852,665,35,876,171
MC24,0,1,1,0,0,0,0,0,81,195,598,130,37,130,824,130,508
MC25,0,1,1,0,0,0,0,0,454,195,508,665,598,598,852,23,171
FC26,1,0,1,0,0,0,0,0,852,195,130,756,876,69,348,306,1119
FC27,1,0,1,0,0,0,0,0,852,195,852,126,379,705,664,1107,0
MF301,0,1,0,1,0,0,0,,,195,,,,,,,93
MF302,0,1,0,1,0,0,0,1,,195,,,,,,,134
FF303,1,0,0,1,0,0,0,0,,195,69,852,379,876,508,876,93
FF304,1,0,0,1,0,0,0,74,84,195,852,739,852,49,642,68,
MC305,0,1,1,0,0,0,0,76,,195,,,,,,,1119
MC306,0,1,1,0,0,0,0,428,598,195,306,705,171,665,239,1107,773
FC307,1,0,1,0,0,0,0,76,379,195,852,852,756,37,6,876,843
FC308,1,0,1,0,0,0,0,0,852,195,171,130,535,130,126,894,1119
FC309,1,0,1,0,0,0,0,843,454,195,23,852,1107,423,657,363,809
MC310,0,1,1,0,0,0,0,195,843,195,876,535,664,354,196,46,535
FC311,1,0,1,0,0,0,0,74,46,195,756,23,363,665,396,657,1038
MC312,0,1,1,0,0,0,0,0,84,195,598,69,354,379,126,894,128
MC313,0,1,1,0,0,0,0,0,454,195,598,130,894,480,130,130,130
FC314,1,0,1,0,0,0,0,195,428,195,49,705,739,363,379,508,396
FC315,1,0,1,0,0,0,0,74,428,195,642,852,84,695,495,379,93
FC316,1,0,1,0,0,0,0,0,49,195,379,69,705,130,130,480,396
FC317,1,0,1,0,0,0,0,0,81,195,306,130,130,306,171,508,773
FM318,1,0,0,0,0,1,0,74,852,195,705,379,68,508,642,508,128
FC28,1,0,1,0,0,0,0,839,428,1,23,379,852,23,423,1107,773
FC29,1,0,1,0,0,0,0,76,49,1,852,664,894,130,6,379,396
FC30,1,0,1,0,0,0,0,44,46,1,739,130,46,535,664,23,93
FC31,1,0,1,0,0,0,0,44,665,1,665,508,69,894,134,480,1119
FC32,1,0,1,0,0,0,0,1,46,1,23,642,363,739,480,1107,508
FC33,1,0,1,0,0,0,0,76,657,1,705,894,705,130,535,665,32
FC34,1,0,1,0,0,0,0,1,428,1,23,1107,130,876,,695,614
FC35,1,0,1,0,0,0,0,0,695,1,23,130,480,69,130,379,773
FC36,1,0,1,0,0,0,0,0,428,1,598,,49,1107,731,,1119
FC37,1,0,1,0,0,0,0,74,81,1,171,69,69,354,354,665,1119
FC38,1,0,1,0,0,0,0,195,657,1,,,,,642,,
MB319,0,1,0,0,1,0,0,0,81,1,171,480,739,739,379,68,343
FF320,1,0,0,1,0,0,0,44,354,1,23,665,843,454,32,876,508
MF321,0,1,0,1,0,0,0,1,657,1,23,,695,363,756,379,773
FC322,1,0,1,0,0,0,0,74,843,1,69,37,535,1107,894,598,32
FC323,1,0,1,0,0,0,0,343,535,1,130,130,598,130,535,876,32
MC324,0,1,1,0,0,0,0,195,695,1,665,134,480,379,126,171,396
FC325,1,0,1,0,0,0,0,76,695,1,508,354,1107,130,35,423,1107
FC326,1,0,1,0,0,0,0,195,81,1,508,6,171,37,461,756,0
FC327,1,0,1,0,0,0,0,74,49,1,1107,306,68,508,126,171,0
MC328,0,1,1,0,0,0,0,195,852,1,598,480,852,876,93,739,1119
FC329,1,0,1,0,0,0,0,195,843,1,363,171,49,363,23,69,773
FC330,1,0,1,0,0,0,0,1,843,1,84,363,23,894,391,1107,171
FC331,1,0,1,0,0,0,0,839,852,1,171,756,665,705,130,379,396
FC332,1,0,1,0,0,0,0,195,84,1,852,756,454,68,396,130,1119
MC333,0,1,1,0,0,0,0,0,81,1,664,876,480,363,1107,84,535
FC334,1,0,1,0,0,0,0,195,428,1,354,6,354,598,354,379,93
FC335,1,0,1,0,0,0,0,0,428,1,171,69,739,130,480,508,1038
FC336,1,0,1,0,0,0,0,195,84,1,69,876,354,130,740,739,756
FC337,1,0,1,0,0,0,0,1,46,1,598,480,852,535,535,423,705
FC338,1,0,1,0,0,0,0,1,81,1,756,37,876,379,354,454,343
FM339,1,0,0,0,0,1,0,195,843,1,,,,,535,,32
FM340,1,0,0,0,0,1,0,1,84,1,739,876,695,84,134,535,756
FM341,1,0,0,0,0,1,0,0,46,1,23,535,49,508,756,49,
FM342,1,0,0,0,0,1,0,44,739,1.2e-13,852,126,354,130,756,37,756
FC39,1,0,1,0,0,0,0,44,1107,0,480,6,876,535,495,37,
FC40,1,0,1,0,0,0,0,0,843,0,69,69,23,23,850,363,
FC41,1,0,1,0,0,0,0,0,46,0,126,379,68,23,391,508,1119
FC42,1,0,1,0,0,0,0,44,46,0,37,363,480,894,37,852,508
MC43,0,1,1,0,0,0,0,0,535,0,695,731,535,508,396,37,364
FC44,1,0,1,0,0,0,0,839,81,0,69,705,68,876,773,423,508
FC45,1,0,1,0,0,0,0,0,46,0,126,37,363,642,316,598,364
MC46,0,1,1,0,0,0,0,76,843,0,363,480,354,598,316,657,0
MC47,0,1,1,0,0,0,0,1,84,0,1107,23,657,852,664,37,423
MB48,0,1,0,0,1,0,0,,,,,,,,,,740
MB49,0,1,0,0,1,0,0,1,843,,665,23,454,1107,,37,
FF50,1,0,0,1,0,0,0,843,,,93,664,1107,705,508,480,1107
FF51,1,0,0,1,0,0,0,,68,,130,664,852,598,239,130,508
FC52,1,0,1,0,0,0,0,,130,,354,130,535,876,731,894,773
FF95,1,0,0,1,0,0,0,343,739,,35,,354,705,824,508,756
FF96,1,0,0,1,0,0,0,428,49,,379,894,69,130,239,876,773
FM97,1,0,0,0,0,1,0,195,49,,37,535,363,423,69,665,128
FC343,1,0,1,0,0,0,0,839,657,0,126,171,665,379,,852,0
FC344,1,0,1,0,0,0,0,1,81,0,93,852,665,130,354,1107,128
FC345,1,0,1,0,0,0,0,,428,0,852,,598,1107,535,876,1107
MC346,0,1,1,0,0,0,0,1,695,0,894,852,49,876,,535,
FC347,1,0,1,0,0,0,0,0,852,0,130,598,665,68,126,363,364
MC348,0,1,1,0,0,0,0,1,843,0,756,480,756,171,598,454,128
MC349,0,1,1,0,0,0,0,74,46,0,598,354,379,171,391,423,705
FG350,1,0,0,0,0,0,1,428,171,,705,69,739,130,363,657,
FG351,1,0,0,0,0,0,1,428,894,,379,756,363,69,354,126,1038
FG352,1,0,0,0,0,0,1,44,535,,756,,,130,32,171,364
FG353,1,0,0,0,0,0,1,,68,,894,37,423,480,,642,508
FG354,1,0,0,0,0,0,1,1,49,,130,379,423,37,756,739,614
FG355,1,0,0,0,0,0,1,76,852,,852,423,894,535,,49,508
MB356,0,1,0,0,1,0,0,0,,,,,,,,,
FB357,1,0,0,0,1,0,0,76,843,,130,665,508,876,535,130,1119
FB358,1,0,0,0,1,0,0,1,428,,756,69,852,354,,454,
MF359,0,1,0,1,0,0,0,0,,,598,130,306,852,,130,
FF360,1,0,0,1,0,0,0,74,,,,,,,,,93
FF361,1,0,0,1,0,0,0,76,,,,,,,,,396
FF362,1,0,0,1,0,0,0,195,428,,852,852,852,130,809,354,1038
FF363,1,0,0,1,0,0,0,,535,,130,130,657,130,,69,508
FF364,1,0,0,1,0,0,0,1,423,,130,665,84,37,850,642,508
FF365,1,0,0,1,0,0,0,195,46,,23,37,454,363,130,1107,614
FF366,1,0,0,1,0,0,0,0,843,,130,642,46,535,665,68,508
FC367,1,0,1,0,0,0,0,1,739,,665,23,852,1107,93,126,1
FC368,1,0,1,0,0,0,0,1,46,,37,876,876,642,130,84,364
FC369,1,0,1,0,0,0,0,0,843,,423,126,68,363,461,852,93
FC370,1,0,1,0,0,0,0,1,46,,23,705,46,665,850,598,396
FM371,1,0,0,0,0,1,0,44,68,,664,894,480,,,843,508
FM372,1,0,0,0,0,1,0,,,,,,,,,,535
FM373,1,0,0,0,0,1,0,,130,,665,354,,894,,665,773
FM374,1,0,0,0,0,1,0,74,454,,130,1107,68,454,508,46,93
MM375,0,1,0,0,0,1,0,76,,,126,480,642,665,69,1107,171
FM376,1,0,0,0,0,1,0,44,894,,171,894,535,480,69,1107,1119
FM377,1,0,0,0,0,1,0,1,657,,,,,598,894,,0
MM378,0,1,0,0,0,1,0,,428,,171,894,894,642,196,535,
FM379,1,0,0,0,0,1,0,1,46,,23,68,739,876,68,695,1119
